sentence,cleaned_sentence,sentiment
"A 22-member Bangladeshi delegation of political leaders, civil society activists, academics and journalists have begun a 10-day visit to China.",member bangladeshi delegation political leaders civil society activists academics journalists begun day visit china,neutral
"They will be having talks with Chinese government officials and senior members of the ruling Communist Party, a delegation leader confirmed with the BBC.",talks chinese government officials senior members ruling communist party delegation leader confirmed bbc,positive
Analysts say China is making overtures while diplomatic tensions have risen between Bangladesh and India on a range of issues.,analysts say china making overtures diplomatic tensions risen bangladesh india range issues,neutral
This includes ousted Bangladeshi leader Sheikh Hasina living in exile in India.,includes ousted bangladeshi leader sheikh hasina living exile india,neutral
Dhaka has requested her extradition but Delhi has refused.,dhaka requested extradition delhi refused,neutral
"Abdul Moyeen Khan, a senior official from the Bangladesh Nationalist Party (BNP) who's leading the delegation in Beijing, told the BBC: ""It's basically a goodwill visit, initiated by Beijing.""",abdul moyeen khan senior official bangladesh nationalist party bnp whos leading delegation beijing told bbc basically goodwill visit initiated beijing,neutral
"""It is unique because China this time has invited a team representing various groups in Bangladesh.""",unique china time invited team representing various groups bangladesh,positive
Many of the delegation members are from the BNP and its allies.,many delegation members bnp allies,positive
"The BNP, headed by former prime minister Begum Khaleda Zia, is one of the main parties in Bangladesh, besides the Awami League led by Hasina.",bnp headed former prime minister begum khaleda zia one main parties bangladesh besides awami league led hasina,neutral
The delegation also includes several representatives from the student movement that began the mass uprising against Hasina that eventually ousted the prime minister in August last year.,delegation also includes several representatives student movement began mass uprising hasina eventually ousted prime minister august last year,neutral
"An interim government, led by the Nobel laureate Muhammad Yunus is currently in charge.",interim government led nobel laureate muhammad yunus currently charge,neutral
"It has been urging India to repatriate Hasina to face charges of crimes against humanity and money laundering, among other allegations.",urging india repatriate hasina face charges crimes humanity money laundering among allegations,neutral
"The UN says Hasina's government's crackdown on protesters during the uprising killed about 1,400 people.",says hasinas governments crackdown protesters uprising killed people,negative
"So far India has showed no sign of extraditing Hasina, who denies the charges.",far india showed sign extraditing hasina denies charges,neutral
"Delhi and Dhaka had maintained close ties during the 15-year rule of Ms Hasina, who was widely seen by her critics as pro-India.",delhi dhaka maintained close ties year rule hasina widely seen critics proindia,neutral
"While maintaining close ties with Delhi, she balanced it with her relationship with Beijing.",maintaining close ties delhi balanced relationship beijing,neutral
"After the fall of Hasina, Beijing has stepped up its interaction with Bangladeshi leaders, activists and delegations, including from Islamist parties.",fall hasina beijing stepped interaction bangladeshi leaders activists delegations including islamist parties,neutral
This week's visit follows a meeting between the Bangladesh interim government's foreign policy advisor Touhid Hossain and the Chinese foreign minister Wang Yi in Beijing in January.,weeks visit follows meeting bangladesh interim governments foreign policy advisor touhid hossain chinese foreign minister wang beijing january,neutral
"It also marks the second time BNP officials have visited China in recent months, after Beijing hosted a BNP delegation late last year.",also marks second time bnp officials visited china recent months beijing hosted bnp delegation late last year,neutral
"With the political vacuum and absence of India's influence, analysts say, Beijing is trying to increase its foothold in Bangladesh, a country of about 170 million people.",political vacuum absence indias influence analysts say beijing trying increase foothold bangladesh country million people,neutral
China is Bangladesh's largest trading partner with bilateral trade amounting to around $24bn (£19bn) - the vast majority of that consists of Chinese exports to the South Asian country.,china bangladeshs largest trading partner bilateral trade amounting around vast majority consists chinese exports south asian country,neutral
The Bangladeshi military also heavily relies on Chinese equipment and ammunition with more than 70% of supplies coming from China.,bangladeshi military also heavily relies chinese equipment ammunition supplies coming china,negative
"Compared to Beijing's overtures, India has had very limited interactions with the interim government and other Bangladeshi political leaders in the past six months.",compared beijings overtures india limited interactions interim government bangladeshi political leaders past six months,negative
The BNP held a protest in December alleging India's interference in Bangladesh's internal matters by hosting Hasina.,bnp held protest december alleging indias interference bangladeshs internal matters hosting hasina,neutral
Some advisors of the interim government have also criticised Delhi on the same issue.,advisors interim government also criticised delhi issue,neutral
This criticism has sparked sharp reaction from Delhi.,criticism sparked sharp reaction delhi,negative
"The Indian foreign minister Subrahmanyam Jaishankar said last week that it was up to Bangladesh to decide on ""what kind of relationship they want with us"".",indian foreign minister subrahmanyam jaishankar said last week bangladesh decide kind relationship want,positive
"He described the criticism of India by Bangladeshi officials and politicians as ""absolutely ridiculous"".",described criticism india bangladeshi officials politicians absolutely ridiculous,negative
Some argue that this increasingly tense rhetoric between Dhaka and Delhi could push Bangladesh towards China.,argue increasingly tense rhetoric dhaka delhi could push bangladesh towards china,negative
"The latest events indicate that Bangladesh has joined fellow South Asian countries Sri Lanka, the Maldives and Nepal as a target for both Delhi and Beijing, as the superpowers jostle for influence.",latest events indicate bangladesh joined fellow south asian countries sri lanka maldives nepal target delhi beijing superpowers jostle influence,positive
"""I don't believe India should consider the whole subcontinent is under Delhi's sphere of influence.",dont believe india consider whole subcontinent delhis sphere influence,positive
"That attitude would make India suffer,"" Chinese analyst Zhou Bo, a senior fellow at Beijing's Tsinghua University, told the BBC.",attitude would make india suffer chinese analyst zhou senior fellow beijings tsinghua university told bbc,neutral
"Dozens of workers escaped, but eight men were trapped after a part of the tunnel's roof collapsed.",dozens workers escaped eight men trapped part tunnels roof collapsed,negative
"Rachin Ravindra's ""classy"" century helps New Zealand book their place in the semi-finals of the Champions Trophy after a comfortable five-wicket win over Bangladesh in Rawalpindi.",rachin ravindras classy century helps new zealand book place semifinals champions trophy comfortable fivewicket win bangladesh rawalpindi,positive
Which sides are on course to make the Champions Trophy semi-finals?,sides course make champions trophy semifinals,neutral
And who has taken the most wickets?,taken wickets,neutral
Rachin Ravindra's 112 helps New Zealand reach the semi-finals of the Champions Trophy as they beat Bangladesh by five wickets.,rachin ravindras helps new zealand reach semifinals champions trophy beat bangladesh five wickets,positive
The men's Champions Trophy returns in 2025 after a eight-year hiatus - here's the full schedule for the eight-team tournament.,mens champions trophy returns eightyear hiatus heres full schedule eightteam tournament,positive
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
"A Colombian national was caught trying to smuggle drugs hidden under a toupee, while boarding a flight from Cartagena to Amsterdam on February 20.",colombian national caught trying smuggle drugs hidden toupee boarding flight cartagena amsterdam february,negative
"The wig contained 19 cocaine capsules, a shipment valued at more than €10,000 (£8,290), authorities said.",wig contained cocaine capsules shipment valued authorities said,neutral
"The suspect was arrested and placed at the disposal of the Attorney General's Office for the crime of trafficking, manufacturing and carrying narcotic substances.",suspect arrested placed disposal attorney generals office crime trafficking manufacturing carrying narcotic substances,neutral
Peruvian police released footage showing a suspect pounding Cusco's 12-Angle Stone.,peruvian police released footage showing suspect pounding cuscos angle stone,neutral
"Video shows the moment police use fancy dress to carry out a drug raid in Lima, Peru.",video shows moment police use fancy dress carry drug raid lima peru,neutral
"Dell Simancas captures the moment his son, Adrián, is swallowed and spat out by a humpback whale.",dell simancas captures moment son adrin swallowed spat humpback whale,neutral
At least 20 people have been injured after a factory making costumes for Carnival celebrations in Brazil caught fire.,least people injured factory making costumes carnival celebrations brazil caught fire,negative
The project aims to boost numbers of threatened tracajás turtles in Amazonas state.,project aims boost numbers threatened tracajs turtles amazonas state,neutral
"Two people were killed in the accident, the Brazilian city's fire department said.",two people killed accident brazilian citys fire department said,negative
The body of water runs through industrial areas on the outskirts of Buenos Aires.,body water runs industrial areas outskirts buenos aires,neutral
Heavy rain across the Brazilian city caused transport chaos and subway overcrowding.,heavy rain across brazilian city caused transport chaos subway overcrowding,negative
Firefighters in Viña del Mar rescued more than 35 revellers trapped aboard a malfunctioning Ferris wheel.,firefighters via del mar rescued revellers trapped aboard malfunctioning ferris wheel,negative
A state of emergency has been declared in southern Brazil after heavy rain caused flooding in costal cities.,state emergency declared southern brazil heavy rain caused flooding costal cities,neutral
"Bruno Lobo was practising filming with a new camera off the coast of Brazil, as he heard a woman screaming.",bruno lobo practising filming new camera coast brazil heard woman screaming,positive
Videos show waves reported to be up to four metres high upending boats and deluging towns.,videos show waves reported four metres high upending boats deluging towns,positive
A firefighter dressed as Santa abseils down a bridge in Guatemala City to give gifts to children.,firefighter dressed santa abseils bridge guatemala city give gifts children,neutral
"An officer in Peru smashed a suspected drug dealer's door in, while clad as Dr Seuss' famous character.",officer peru smashed suspected drug dealers door clad seuss famous character,positive
"The BBC's Will Grant looks at unrest in which seven people died, leading to family members attempting to break inside to check on their relatives.",bbcs grant looks unrest seven people died leading family members attempting break inside check relatives,neutral
"Locals call the shacks ""suicide homes"" with authorities planning a forced evacuation if necessary.",locals call shacks suicide homes authorities planning forced evacuation necessary,negative
Throwing a mace out a window has historic significance in the country and previously happened in 1965.,throwing mace window historic significance country previously happened,neutral
"A 28-year-old was man detained in Lima, accused of trying to transport endangered spiders, centipedes and ants from Peru to South Korea.",yearold man detained lima accused trying transport endangered spiders centipedes ants peru south korea,neutral
"There have been no reported fatalities, according to the fire department.",reported fatalities according fire department,neutral
The BBC's Georgina Rannard shows a virtual rendition of Valeriana - which has been discovered centuries after it disappeared under the jungle canopy in Mexico.,bbcs georgina rannard shows virtual rendition valeriana discovered centuries disappeared jungle canopy mexico,neutral
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
The officer is the first casualty suffered by the Kenyan-led Multinational Security Support mission.,officer first casualty suffered kenyanled multinational security support mission,positive
"Suspect tried to smuggle more than €10,000 of cocaine from Cartagena to Amsterdam, Colombian authorities said.",suspect tried smuggle cocaine cartagena amsterdam colombian authorities said,neutral
Argentina's president gifted Elon Musk a chainsaw to symbolise cuts to bureaucracy.,argentinas president gifted elon musk chainsaw symbolise cuts bureaucracy,positive
"José Ángel Canobbio, also known as ""El Güerito"", was arrested in the northern city of Culiacán.",jos ngel canobbio also known gerito arrested northern city culiacn,neutral
Research in Chile could help to provide drinking water for some of the world's most arid places.,research chile could help provide drinking water worlds arid places,neutral
"Suspect tried to smuggle more than €10,000 of cocaine from Cartagena to Amsterdam, Colombian authorities said.",suspect tried smuggle cocaine cartagena amsterdam colombian authorities said,neutral
"The pontiff is in good humour and eating normally though he remains ""critical"", Vatican sources say.",pontiff good humour eating normally though remains critical vatican sources say,positive
The move comes amid deteriorating conditions in the Caribbean country.,move comes amid deteriorating conditions caribbean country,neutral
Argentina's president gifted Elon Musk a chainsaw to symbolise cuts to bureaucracy.,argentinas president gifted elon musk chainsaw symbolise cuts bureaucracy,positive
"Indians, Afghans and Sri Lankans are among the undocumented migrants unable to leave the hotel after being deported.",indians afghans sri lankans among undocumented migrants unable leave hotel deported,negative
A close-up look at Chinese projects that worry the White House.,closeup look chinese projects worry white house,neutral
The debate over a beloved dish has reignited as Antiguans and Barbudans seek to preserve their cultural heritage.,debate beloved dish reignited antiguans barbudans seek preserve cultural heritage,positive
"Donald Trump's renaming of the Gulf of Mexico and other landmarks suggests his greater vision for America Politicians in the country want to prohibit the sale of such items, but they face opposition.",donald trumps renaming gulf mexico landmarks suggests greater vision america politicians country want prohibit sale items face opposition,positive
Peruvian police released footage showing a suspect pounding Cusco's 12-Angle Stone.,peruvian police released footage showing suspect pounding cuscos angle stone,neutral
"Video shows the moment police use fancy dress to carry out a drug raid in Lima, Peru.",video shows moment police use fancy dress carry drug raid lima peru,neutral
"Dell Simancas captures the moment his son, Adrián, is swallowed and spat out by a humpback whale.",dell simancas captures moment son adrin swallowed spat humpback whale,neutral
At least 20 people have been injured after a factory making costumes for Carnival celebrations in Brazil caught fire.,least people injured factory making costumes carnival celebrations brazil caught fire,negative
The Gulf of Mexico has been renamed the Gulf of America on Google Maps in the US.,gulf mexico renamed gulf america google maps,neutral
BBC Verify explains why Google made the change.,bbc verify explains google made change,neutral
"Suspect tried to smuggle more than €10,000 of cocaine from Cartagena to Amsterdam, Colombian authorities said.",suspect tried smuggle cocaine cartagena amsterdam colombian authorities said,neutral
"José Ángel Canobbio, also known as ""El Güerito"", was arrested in the northern city of Culiacán.",jos ngel canobbio also known gerito arrested northern city culiacn,neutral
Peruvian police released footage showing a suspect pounding Cusco's 12-Angle Stone.,peruvian police released footage showing suspect pounding cuscos angle stone,neutral
Research in Chile could help to provide drinking water for some of the world's most arid places.,research chile could help provide drinking water worlds arid places,neutral
Jair Bolsonaro is accused of plotting a coup after he was defeated in the 2022 presidential election.,jair bolsonaro accused plotting coup defeated presidential election,neutral
The Association of Foreign Press Correspondents in Brazil says it is concerned over her disappearance.,association foreign press correspondents brazil says concerned disappearance,negative
"The driver likely lost control of the vehicle, causing it to plunge almost 800 meters.",driver likely lost control vehicle causing plunge almost meters,neutral
The drugs were found in warehouses and meth labs in the violence-wracked state of Sinaloa.,drugs found warehouses meth labs violencewracked state sinaloa,neutral
The debate over a beloved dish has reignited as Antiguans and Barbudans seek to preserve their cultural heritage.,debate beloved dish reignited antiguans barbudans seek preserve cultural heritage,positive
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
"Three years on from Russia's invasion of Ukraine, the return of Donald Trump has changed everything What could happen when Sir Keir Starmer visits the White House next Thursday?",three years russias invasion ukraine return donald trump changed everything could happen sir keir starmer visits white house next thursday,neutral
"For some Gen Zs, meeting online through shared hobbies is an alternative to the tyranny of the swipe.",gen meeting online shared hobbies alternative tyranny swipe,neutral
"With the economy a key factor in German elections this month, can the auto sector get back on the road to recovery?",economy key factor german elections month auto sector get back road recovery,neutral
Who may turn out to be the biggest winners or losers from the new US president's trade policy.,may turn biggest winners losers new presidents trade policy,neutral
What could happen when Sir Keir Starmer visits the White House next Thursday?,could happen sir keir starmer visits white house next thursday,neutral
"After incidents of vital underwater cables in the Baltic Sea being damaged, is Britain's subsea infrastructure exposed to sabotage?",incidents vital underwater cables baltic sea damaged britains subsea infrastructure exposed sabotage,neutral
"For years, Navalny was Vladimir Putin's biggest political rival, but now the Russian opposition is weaker than ever.",years navalny vladimir putins biggest political rival russian opposition weaker ever,neutral
"For some Gen Zs, meeting online through shared hobbies is an alternative to the tyranny of the swipe.",gen meeting online shared hobbies alternative tyranny swipe,neutral
"The far right here and elsewhere in Europe attracts an increasing number of young people, particularly men.",far right elsewhere europe attracts increasing number young people particularly men,positive
"A blizzard of statistics show just how tough it is to buy a home if you can theoretically afford it, writes Laura Kuenssberg.",blizzard statistics show tough buy home theoretically afford writes laura kuenssberg,negative
"Can the group survive a wave of changes in Lebanon, and the re-shaping of power in the Middle East?",group survive wave changes lebanon reshaping power middle east,neutral
The UK will still be hit even if not directly targeted by Trump's tariff measures.,still hit even directly targeted trumps tariff measures,neutral
The US president's talk about taking control has come at a time when many on the island are already considering their future Conservatives declare victory but there’s a big surge from the far right.,presidents talk taking control come time many island already considering future conservatives declare victory theres big surge far right,positive
What have Russians won and lost during the conflict in Ukraine?,russians lost conflict ukraine,neutral
We talk through the history of the military alliance ...and could it wipe out our satellites?,talk history military alliance could wipe satellites,neutral
Reporter Judith Moritz meets survivors of the Southport attack.,reporter judith moritz meets survivors southport attack,neutral
World leaders tell the story of the decades that lead to the attacks of 7th October 2023.,world leaders tell story decades lead attacks october,neutral
"BBC 100 Women meets Brazil's most decorated Olympian of all time, gymnast Rebeca Andrade.",bbc women meets brazils decorated olympian time gymnast rebeca andrade,neutral
A look at the Gloriavale community and how it evolved into extremes.,look gloriavale community evolved extremes,neutral
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
"Friedrich Merz's conservatives have won, but Germany's 2025 election has thrown up some important and fascinating stories that reveal a country in flux.",friedrich merzs conservatives germanys election thrown important fascinating stories reveal country flux,positive
"Alternative for Germany, or AfD, has doubled its support in just four years to 20.8%, and has spread out from its support base in the east to become the second biggest political force in parliament.",alternative germany afd doubled support four years spread support base east become second biggest political force parliament,negative
"Meanwhile, outgoing Chancellor Olaf Scholz's SPD had its worst performance in decades, only securing 16.4% of the vote.",meanwhile outgoing chancellor olaf scholzs spd worst performance decades securing vote,negative
"Look at an election results map of Germany, and you could almost have travelled back in time to the Cold War, when an iron curtain divided communist East Germany from the west.",look election results map germany could almost travelled back time cold war iron curtain divided communist east germany west,negative
"In the east it's a swathe of AfD light blue, apart from pockets like Berlin and half of Leipzig.",east swathe afd light blue apart pockets like berlin half leipzig,neutral
"In the west the vast majority has turned conservative black, especially in Bavaria where Merz's conservative sister party, the CSU, dominates the landscape.",west vast majority turned conservative black especially bavaria merzs conservative sister party csu dominates landscape,neutral
"But the AfD is spreading in the west too, and political loyalty to the old mainstream parties has gone.",afd spreading west political loyalty old mainstream parties gone,neutral
For one in five Germans it has become normalised.,one five germans become normalised,neutral
"""They're just normal people,"" said one young man of immigrant origin in Duisburg, a city in western Germany's old industrial heartland.",theyre normal people said one young man immigrant origin duisburg city western germanys old industrial heartland,neutral
"Even though it came second, the AfD is blocked from being part of the next government because of a ""firewall"" - or Brandmauer - operated by Germany's main parties, who do not co-operate with any party seen as extremist since the end of World War Two.",even though came second afd blocked part next government firewall brandmauer operated germanys main parties cooperate party seen extremist since end world war two,neutral
"The AfD's leader Alice Weidel insists it is a libertarian, conservative movement, not racist.",afds leader alice weidel insists libertarian conservative movement racist,neutral
"Its big increase in public support has coincided with a series of deadly attacks in the past nine months, all allegedly by immigrants.",big increase public support coincided series deadly attacks past nine months allegedly immigrants,negative
"The AfD has embraced a highly controversial policy called ""remigration"", which it defines as deporting migrants who have committed crimes.",afd embraced highly controversial policy called remigration defines deporting migrants committed crimes,positive
But the term can also refer to the mass deportation of migrants and their descendants.,term also refer mass deportation migrants descendants,neutral
In May 2024 a German court rejected an AfD appeal against a ruling classifying it as a suspected far-right extremist organisation.,may german court rejected afd appeal ruling classifying suspected farright extremist organisation,neutral
"Judges found that the AfD had ""positions that disparage the democratic order and are incompatible with the principle of democracy"".",judges found afd positions disparage democratic order incompatible principle democracy,neutral
"In three German states in the east - Thuringia, Saxony-Anhalt and Saxony - domestic intelligence has designated the AfD as right-wing extremist.",three german states east thuringia saxonyanhalt saxony domestic intelligence designated afd rightwing extremist,neutral
"A leading AfD figure in Thuringia, Björn Höcke, has twice been convicted of using a banned Nazi slogan ""Alles für Deutschland"" - everything for Germany.",leading afd figure thuringia bjrn hcke twice convicted using banned nazi slogan alles deutschland everything germany,neutral
"Alice Weidel supporters have chanted her name during the election campaign, using the phrase ""Alice für Deutschland"".",alice weidel supporters chanted name election campaign using phrase alice deutschland,neutral
"Not since 1987 has turnout been as high as 82.5% in a German election, and that was three years before reunification of east and west.",since turnout high german election three years reunification east west,neutral
Four years ago it was 76.6%.,four years ago,neutral
"Put simply, more than four in every five of Germany's 59.2 million voters turned out.",put simply four every five germanys million voters turned,neutral
"It reflects just how energised Germans have been by this election, which comes at a pivotal moment for their country.",reflects energised germans election comes pivotal moment country,positive
"There were nine TV debates in the final stretch of the campaign, but that reflected the broad interest of the audience.",nine debates final stretch campaign reflected broad interest audience,neutral
"The three-party government of outgoing Chancellor Olaf Scholz fell apart at the end of last year, and within 24 hours of Sunday's election, all three leaders have said they're leaving the front line of politics.",threeparty government outgoing chancellor olaf scholz fell apart end last year within hours sundays election three leaders said theyre leaving front line politics,neutral
"The leader of the economic liberals, the FDP, was first.",leader economic liberals fdp first,positive
Christian Lindner has led his party for 11 years.,christian lindner led party years,neutral
But it failed to get any MPs elected and Lindner has said he's leaving politics after 25 years.,failed get mps elected lindner said hes leaving politics years,negative
"It was Lindner's refusal to compromise on debt rules that first brought the government down, and then sent his party into the wilderness.",lindners refusal compromise debt rules first brought government sent party wilderness,positive
"Although Scholz will remain as chancellor until the next government is formed, he won't be taking part in coalition talks and will be leaving frontline politics.",although scholz remain chancellor next government formed wont taking part coalition talks leaving frontline politics,neutral
Greens Vice-Chancellor Robert Habeck is also leaving frontline politics after his party fell below 12% in the election.,greens vicechancellor robert habeck also leaving frontline politics party fell election,neutral
"Until a few weeks ago, the Left party looked doomed when one of its leading lights, Sahra Wagenknecht, went off and founded her own, more populist, party with eight other MPs.",weeks ago left party looked doomed one leading lights sahra wagenknecht went founded populist party eight mps,neutral
"Wagenknecht's popularity soared for a while as head of her BSW party, but ultimately fell just below the 5% threshold for getting into parliament.",wagenknechts popularity soared head bsw party ultimately fell threshold getting parliament,neutral
"The story was very different for the Left (Die Linke), which came back from the dead with an inspired social medial campaign.",story different left die linke came back dead inspired social medial campaign,neutral
"Heidi Reichinnek, Die Linke's co-chair, went viral after she gave a speech enthusiastically defending the firewall against the AfD.",heidi reichinnek die linkes cochair went viral gave speech enthusiastically defending firewall afd,neutral
"She now has 580,000 followers on TikTok and her post has attracted seven million views.",followers tiktok post attracted seven million views,neutral
Her party secured just under 9% of the vote.,party secured vote,neutral
"Die Linke's viral videos helped secure a quarter of the 18-24 vote, and the AfD were not far behind with 21%, according to surveys by ARD TV.",die linkes viral videos helped secure quarter vote afd far behind according surveys ard,neutral
"Alice Weidel was the biggest hit on social media during the election, even bigger than Heidi Reichinnek.",alice weidel biggest hit social media election even bigger heidi reichinnek,neutral
"She has attracted more than 935,000 followers on TikTok.",attracted followers tiktok,neutral
"For the over-35s, it was the Christian Democrats who won out, and more men than women.",overs christian democrats men women,neutral
The leader of the Christian Democratic Union is now in pole position to become Germany's next chancellor.,leader christian democratic union pole position become germanys next chancellor,neutral
Friedrich Merz will try to form a coalition after his Christian Democrats won less than 30% of the vote.,friedrich merz try form coalition christian democrats less vote,neutral
"Friedrich Merz heralds a new era for Europe without the US as a key partner, writes Europe editor Katya Adler.",friedrich merz heralds new era europe without key partner writes europe editor katya adler,neutral
The far-right Alternative for Germany (AfD) is expected to become the second biggest force in the country.,farright alternative germany afd expected become second biggest force country,neutral
"Germany is at a crossroads and now for Friedrich Merz the hard work begins, writes Berlin correspondent Jessica Parker.",germany crossroads friedrich merz hard work begins writes berlin correspondent jessica parker,negative
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
"The UK has been ""fooled"" into believing international law alone can keep global peace, according to Conservative leader Kemi Badenoch.",fooled believing international law alone keep global peace according conservative leader kemi badenoch,neutral
"In a speech on Tuesday, Badenoch will say the UK should ""review"" its foreign policy strategy and put British interests first.",speech tuesday badenoch say review foreign policy strategy put british interests first,neutral
Badenoch hinted last week that she may advocate for pulling the UK out of the European Convention of Human Rights (ECHR).,badenoch hinted last week may advocate pulling european convention human rights echr,neutral
"She will be making her speech during a key week for international diplomacy, with both Prime Minister Sir Keir Starmer and French President Emmanuel Macron travelling to the White House to discuss the war in Ukraine and smooth relations with the Trump administration.",making speech key week international diplomacy prime minister sir keir starmer french president emmanuel macron travelling white house discuss war ukraine smooth relations trump administration,neutral
"Badenoch will say on Tuesday that ""the world has changed"", leaving the UK ""not ready"" to deal with modern crises.",badenoch say tuesday world changed leaving ready deal modern crises,positive
"The Conservative leader will argue the UK must also change and act in its national interest by protecting ""its borders, its values and its people"".",conservative leader argue must also change act national interest protecting borders values people,neutral
"""Strengthening Britain must be the principal objective at the heart of everything we do,"" she will say.",strengthening britain must principal objective heart everything say,neutral
"""We have let ourselves be fooled into believing that international law alone can keep the peace"" when ""faced with a regime with no respect for the law"".",let fooled believing international law alone keep peace faced regime respect law,neutral
Her speech will be delivered a day after a series of international events to mark the third anniversary of Russia's invasion of Ukraine.,speech delivered day series international events mark third anniversary russias invasion ukraine,neutral
"Discussions around peace talks have rapidly evolved over the past week after US President Donald Trump opened negotiations with Russia, in a meeting which excluded Ukraine.",discussions around peace talks rapidly evolved past week president donald trump opened negotiations russia meeting excluded ukraine,negative
President Trump has said he wants a quick end to the war and has claimed Russian President Vladimir Putin also wants to reach a deal.,president trump said wants quick end war claimed russian president vladimir putin also wants reach deal,positive
"Meanwhile, there has been a deepening rift between Trump and Ukrainian President Zelensky.",meanwhile deepening rift trump ukrainian president zelensky,neutral
"Zelensky has accused the US president of helping Russia ""break out of years of isolation"" before Trump turned his ire on the Ukrainian leader, calling him a ""dictator"" and suggesting his country started the war.",zelensky accused president helping russia break years isolation trump turned ire ukrainian leader calling dictator suggesting country started war,neutral
"On Thursday, Sir Keir will visit the White House to make the case for Ukraine's direct involvement in any peace talks, warning that an insecure settlement without security guarantees for Kyiv could embolden Russia to attack again.",thursday sir keir visit white house make case ukraines direct involvement peace talks warning insecure settlement without security guarantees kyiv could embolden russia attack,negative
"The prime minister also signalled a shift in the government's approach to bringing about peace, including stepping up UK military support and taking a bigger role in Europe's security.",prime minister also signalled shift governments approach bringing peace including stepping military support taking bigger role europes security,neutral
Trump has been putting pressure on European Nato allies to increase their defence spending.,trump putting pressure european nato allies increase defence spending,neutral
"In her speech, Badenoch will also advocate for further investment in defence and argue the government ""must do what it takes to protect Britain"".",speech badenoch also advocate investment defence argue government must takes protect britain,neutral
"The Conservatives ran on a manifesto pledge to increase defence spending from 2.3% to 2.5% of GDP by 2030, but in recent days have pressed Labour to go further.",conservatives ran manifesto pledge increase defence spending gdp recent days pressed labour,neutral
"""There will be painful decisions on government spending,"" Badenoch will say.",painful decisions government spending badenoch say,negative
"""Any country that spends more interest on its debt than on defence, as the UK does today, is destined for weakness.""",country spends interest debt defence today destined weakness,neutral
"Badenoch will also reiterate her position that international courts are being used by charities and other organisations ""to advance an activist political agenda"".",badenoch also reiterate position international courts used charities organisations advance activist political agenda,neutral
The ECHR is a central part of UK human rights law and has been used to halt attempts to deport migrants who are deemed to be in the UK illegally.,echr central part human rights law used halt attempts deport migrants deemed illegally,negative
"The treaty was also recently cited in a case that allowed a Palestinian family the right to live in the UK, after they originally applied through a scheme designed for Ukrainians.",treaty also recently cited case allowed palestinian family right live originally applied scheme designed ukrainians,positive
"During the Conservative leadership election, Badenoch said leaving the treaty would not be a ""silver bullet"" to tackling immigration but last week said her party would review the ECHR and Human Rights Act.",conservative leadership election badenoch said leaving treaty would silver bullet tackling immigration last week said party would review echr human rights act,neutral
"Responding to the speech, a Labour spokesperson said: ""If Kemi Badenoch was really the 'realist' she says she is, she'd be apologising to the British people for the damage she and her party did to our country.",responding speech labour spokesperson said kemi badenoch really realist says shed apologising british people damage party country,neutral
"""Kemi Badenoch was part of a Conservative government which hollowed out our armed forces, made us more reliant on Putin for our energy needs and diminished Britain's standing on the world stage.",kemi badenoch part conservative government hollowed armed forces made reliant putin energy needs diminished britains standing world stage,neutral
"""This Labour government is fixing the Tories' mess and delivering on our Plan for Change, the core foundations of which are economic stability, national security, and border security.""",labour government fixing tories mess delivering plan change core foundations economic stability national security border security,neutral
The Tories have outlined a plan to make it harder for migrants to get indefinite leave to remain in the UK.,tories outlined plan make harder migrants get indefinite leave remain,neutral
"The Tory leader says migrants who want British citizenship should show ""a real commitment to the UK"".",tory leader says migrants want british citizenship show real commitment,neutral
The Conservative leader speaks to the BBC after she told party staff they needed to do better.,conservative leader speaks bbc told party staff needed better,positive
The Tories and Reform UK have attacked payments to Mauritius under the deal to cede the archipelago.,tories reform attacked payments mauritius deal cede archipelago,neutral
Nigel Farage holds a rally in North West Essex as his party targets Kemi Badenoch's seat.,nigel farage holds rally north west essex party targets kemi badenochs seat,neutral
The BBC is not responsible for the content of external sites.,bbc responsible content external sites,neutral
Read about our approach to external linking.,read approach external linking,neutral
"As the French president visits the White House, a look back at a series of unexpectedly touching greetings between the two leaders.",french president visits white house look back series unexpectedly touching greetings two leaders,positive
The Indian prime minister heads to the White House on the day Trump says he will introduce reciprocal tariffs.,indian prime minister heads white house day trump says introduce reciprocal tariffs,neutral
